pckt,date,size,port
0,Thu Nov 21 2019 23:45:23 GMT-0200 (GMT-02:00),10268463,3002
1,Thu Nov 21 2019 23:45:24 GMT-0200 (GMT-02:00),14072411,3002
2,Thu Nov 21 2019 23:45:25 GMT-0200 (GMT-02:00),14243295,3002
3,Thu Nov 21 2019 23:45:26 GMT-0200 (GMT-02:00),10135372,3002
4,Thu Nov 21 2019 23:45:27 GMT-0200 (GMT-02:00),10426085,3002
5,Thu Nov 21 2019 23:45:28 GMT-0200 (GMT-02:00),11006320,3002
6,Thu Nov 21 2019 23:45:29 GMT-0200 (GMT-02:00),7972747,3002
7,Thu Nov 21 2019 23:45:30 GMT-0200 (GMT-02:00),2698445,3002
8,Thu Nov 21 2019 23:45:32 GMT-0200 (GMT-02:00),5723867,3002
9,Thu Nov 21 2019 23:45:33 GMT-0200 (GMT-02:00),4545891,3002
10,Thu Nov 21 2019 23:45:34 GMT-0200 (GMT-02:00),4331308,3002
11,Thu Nov 21 2019 23:45:35 GMT-0200 (GMT-02:00),4266991,3002
12,Thu Nov 21 2019 23:45:36 GMT-0200 (GMT-02:00),4432750,3002
13,Thu Nov 21 2019 23:45:37 GMT-0200 (GMT-02:00),4804529,3002
14,Thu Nov 21 2019 23:45:38 GMT-0200 (GMT-02:00),4223149,3002
15,Thu Nov 21 2019 23:45:39 GMT-0200 (GMT-02:00),4757864,3002
16,Thu Nov 21 2019 23:45:40 GMT-0200 (GMT-02:00),4999801,3002
17,Thu Nov 21 2019 23:45:41 GMT-0200 (GMT-02:00),5627193,3002
18,Thu Nov 21 2019 23:45:42 GMT-0200 (GMT-02:00),4685908,3002
19,Thu Nov 21 2019 23:45:43 GMT-0200 (GMT-02:00),5326752,3002
20,Thu Nov 21 2019 23:45:44 GMT-0200 (GMT-02:00),5742958,3002
21,Thu Nov 21 2019 23:45:45 GMT-0200 (GMT-02:00),5100008,3002
22,Thu Nov 21 2019 23:45:46 GMT-0200 (GMT-02:00),7089176,3002
23,Thu Nov 21 2019 23:45:47 GMT-0200 (GMT-02:00),9690492,3002
24,Thu Nov 21 2019 23:45:48 GMT-0200 (GMT-02:00),8591326,3002
25,Thu Nov 21 2019 23:45:49 GMT-0200 (GMT-02:00),9819514,3002
26,Thu Nov 21 2019 23:45:50 GMT-0200 (GMT-02:00),8900684,3002
27,Thu Nov 21 2019 23:45:51 GMT-0200 (GMT-02:00),7851666,3002
28,Thu Nov 21 2019 23:45:52 GMT-0200 (GMT-02:00),8892129,3002
29,Thu Nov 21 2019 23:45:53 GMT-0200 (GMT-02:00),10393328,3002
30,Thu Nov 21 2019 23:45:54 GMT-0200 (GMT-02:00),9640237,3002
31,Thu Nov 21 2019 23:45:55 GMT-0200 (GMT-02:00),10446559,3002
32,Thu Nov 21 2019 23:45:56 GMT-0200 (GMT-02:00),10701077,3002
33,Thu Nov 21 2019 23:45:57 GMT-0200 (GMT-02:00),9525697,3002
34,Thu Nov 21 2019 23:45:58 GMT-0200 (GMT-02:00),8789326,3002
35,Thu Nov 21 2019 23:45:59 GMT-0200 (GMT-02:00),7919488,3002
36,Thu Nov 21 2019 23:46:00 GMT-0200 (GMT-02:00),9148341,3002
37,Thu Nov 21 2019 23:46:01 GMT-0200 (GMT-02:00),19754185,3002
