pckt,date,size,port
0,Thu Nov 21 2019 23:45:17 GMT-0200 (GMT-02:00),20724204,3001
1,Thu Nov 21 2019 23:45:18 GMT-0200 (GMT-02:00),21157275,3001
2,Thu Nov 21 2019 23:45:19 GMT-0200 (GMT-02:00),21591973,3001
3,Thu Nov 21 2019 23:45:20 GMT-0200 (GMT-02:00),20941392,3001
4,Thu Nov 21 2019 23:45:21 GMT-0200 (GMT-02:00),20953828,3001
5,Thu Nov 21 2019 23:45:22 GMT-0200 (GMT-02:00),20739948,3001
6,Thu Nov 21 2019 23:45:23 GMT-0200 (GMT-02:00),17986928,3001
7,Thu Nov 21 2019 23:45:24 GMT-0200 (GMT-02:00),7911757,3001
8,Thu Nov 21 2019 23:45:25 GMT-0200 (GMT-02:00),7115642,3001
9,Thu Nov 21 2019 23:45:26 GMT-0200 (GMT-02:00),8231293,3001
10,Thu Nov 21 2019 23:45:27 GMT-0200 (GMT-02:00),11954381,3001
11,Thu Nov 21 2019 23:45:28 GMT-0200 (GMT-02:00),10688255,3001
12,Thu Nov 21 2019 23:45:29 GMT-0200 (GMT-02:00),10318779,3001
13,Thu Nov 21 2019 23:45:30 GMT-0200 (GMT-02:00),5869348,3001
14,Thu Nov 21 2019 23:45:31 GMT-0200 (GMT-02:00),3689404,3001
15,Thu Nov 21 2019 23:45:32 GMT-0200 (GMT-02:00),7316975,3001
16,Thu Nov 21 2019 23:45:33 GMT-0200 (GMT-02:00),6191620,3001
17,Thu Nov 21 2019 23:45:34 GMT-0200 (GMT-02:00),6402445,3001
18,Thu Nov 21 2019 23:45:35 GMT-0200 (GMT-02:00),7128205,3001
19,Thu Nov 21 2019 23:45:36 GMT-0200 (GMT-02:00),7673353,3001
20,Thu Nov 21 2019 23:45:37 GMT-0200 (GMT-02:00),7985936,3001
21,Thu Nov 21 2019 23:45:38 GMT-0200 (GMT-02:00),8136132,3001
22,Thu Nov 21 2019 23:45:39 GMT-0200 (GMT-02:00),8612402,3001
23,Thu Nov 21 2019 23:45:40 GMT-0200 (GMT-02:00),7845198,3001
24,Thu Nov 21 2019 23:45:41 GMT-0200 (GMT-02:00),8921717,3001
25,Thu Nov 21 2019 23:45:42 GMT-0200 (GMT-02:00),8910846,3001
26,Thu Nov 21 2019 23:45:43 GMT-0200 (GMT-02:00),8294057,3001
27,Thu Nov 21 2019 23:45:44 GMT-0200 (GMT-02:00),7598423,3001
28,Thu Nov 21 2019 23:45:45 GMT-0200 (GMT-02:00),8745331,3001
